product	product_lc
Putative stomatin/prohibitin-family membrane protease subunit YbbK	putative stomatin/prohibitin-family membrane protease subunit ybbk
Predicted esterase of the alpha-beta hydrolase superfamily	predicted esterase of the alpha-beta hydrolase superfamily
Glutamate racemase (EC 5.1.1.3)	glutamate racemase (ec 5.1.1.3)
Diaminopimelate epimerase (EC 5.1.1.7)	diaminopimelate epimerase (ec 5.1.1.7)
Putative ESX-1 secretion system component Rv3877	putative esx-1 secretion system component rv3877
COG0613, Predicted metal-dependent phosphoesterases (PHP family)	cog0613, predicted metal-dependent phosphoesterases (php family)
putative ATP-binding protein	putative atp-binding protein
Macrolide 2'-phosphotransferase	macrolide 2'-phosphotransferase
ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog	atp-dependent dna helicase uvrd/pcra, actinomycete paralog
Collagen alpha 1(I) chain precursor	collagen alpha 1(i) chain precursor
Lon-like protease with PDZ domain	lon-like protease with pdz domain
FIG00671984: hypothetical protein	fig00671984: hypothetical protein
FIG00424036: hypothetical protein	fig00424036: hypothetical protein
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	1-deoxy-d-xylulose 5-phosphate reductoisomerase (ec 1.1.1.267)
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate synthase (ec 1.17.7.1)
DNA recombination and repair protein RecO	dna recombination and repair protein reco
Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	undecaprenyl pyrophosphate synthetase (ec 2.5.1.31)
probable LacI-type transcriptional regulator	probable laci-type transcriptional regulator
Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	sucrose-6-phosphate hydrolase (ec 3.2.1.26)
Sucrose permease, major facilitator superfamily	sucrose permease, major facilitator superfamily
FIG00424197: hypothetical protein	fig00424197: hypothetical protein
Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)	hydroxymethylpyrimidine phosphate kinase thid (ec 2.7.4.7)
Hydroxymethylpyrimidine phosphate synthase ThiC / Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	hydroxymethylpyrimidine phosphate synthase thic / thiamin-phosphate pyrophosphorylase (ec 2.5.1.3)
Hydroxyethylthiazole kinase (EC 2.7.1.50)	hydroxyethylthiazole kinase (ec 2.7.1.50)
FIG00672339: hypothetical protein	fig00672339: hypothetical protein
Type IV fimbrial assembly, ATPase PilB	type iv fimbrial assembly, atpase pilb
Type IV fimbrial assembly protein PilC	type iv fimbrial assembly protein pilc
Leader peptidase (Prepilin peptidase) (EC 3.4.23.43) / N-methyltransferase (EC 2.1.1.-)	leader peptidase (prepilin peptidase) (ec 3.4.23.43) / n-methyltransferase (ec 2.1.1.-)
Type IV pilus biogenesis protein PilM	type iv pilus biogenesis protein pilm
Glycyl-tRNA synthetase (EC 6.1.1.14)	glycyl-trna synthetase (ec 6.1.1.14)
tRNA dihydrouridine synthase B (EC 1.-.-.-)	trna dihydrouridine synthase b (ec 1.-.-.-)
Cell division protein FtsZ (EC 3.4.24.-)	cell division protein ftsz (ec 3.4.24.-)
FIG021292: hypothetical protein	fig021292: hypothetical protein
FIG00424688: hypothetical protein	fig00424688: hypothetical protein
FIG00672036: hypothetical protein	fig00672036: hypothetical protein
Lipoprotein signal peptidase (EC 3.4.23.36)	lipoprotein signal peptidase (ec 3.4.23.36)
Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	ribosomal large subunit pseudouridine synthase d (ec 4.2.1.70)
DNA polymerase III alpha subunit (EC 2.7.7.7)	dna polymerase iii alpha subunit (ec 2.7.7.7)
Histidinol dehydrogenase (EC 1.1.1.23)	histidinol dehydrogenase (ec 1.1.1.23)
Histidinol-phosphate aminotransferase (EC 2.6.1.9)	histidinol-phosphate aminotransferase (ec 2.6.1.9)
Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)	imidazoleglycerol-phosphate dehydratase (ec 4.2.1.19)
FIG00671949: hypothetical protein	fig00671949: hypothetical protein
Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)	imidazole glycerol phosphate synthase amidotransferase subunit (ec 2.4.2.-)
Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16) / Acting phosphoribosylanthranilate isomerase (EC 5.3.1.24)	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (ec 5.3.1.16) / acting phosphoribosylanthranilate isomerase (ec 5.3.1.24)
Glutamine synthetase type I (EC 6.3.1.2)	glutamine synthetase type i (ec 6.3.1.2)
FIG00425592: hypothetical protein	fig00425592: hypothetical protein
ATP-dependent helicase	atp-dependent helicase
16S RNA G1207 methylase RsmC	16s rna g1207 methylase rsmc
GTP-binding protein HflX	gtp-binding protein hflx
L-lactate dehydrogenase (EC 1.1.1.27)	l-lactate dehydrogenase (ec 1.1.1.27)
Cobalt-zinc-cadmium resistance protein CzcD	cobalt-zinc-cadmium resistance protein czcd
SOS-response repressor and protease LexA (EC 3.4.21.88)	sos-response repressor and protease lexa (ec 3.4.21.88)
Ribonucleotide reductase transcriptional regulator NrdR	ribonucleotide reductase transcriptional regulator nrdr
D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	d-3-phosphoglycerate dehydrogenase (ec 1.1.1.95)
Superfamily I DNA and RNA helicases	superfamily i dna and rna helicases
Cell division protein MraZ	cell division protein mraz
rRNA small subunit methyltransferase H	rrna small subunit methyltransferase h
FIG00424949: hypothetical protein	fig00424949: hypothetical protein
UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	udp-n-acetylmuramoylalanyl-d-glutamate--2,6-diaminopimelate ligase (ec 6.3.2.13)
UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	udp-n-acetylmuramoylalanyl-d-glutamyl-2,6-diaminopimelate--d-alanyl-d-alanine ligase (ec 6.3.2.10)
Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	phospho-n-acetylmuramoyl-pentapeptide-transferase (ec 2.7.8.13)
UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	udp-n-acetylmuramoylalanine--d-glutamate ligase (ec 6.3.2.9)
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	udp-n-acetylglucosamine--n-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol n-acetylglucosamine transferase (ec 2.4.1.227)
UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	udp-n-acetylmuramate--alanine ligase (ec 6.3.2.8)
Cell division septal protein	cell division septal protein
DNA polymerase III, epsilon subunit:DNA polymerase III, alpha subunit, Gram-positive type	dna polymerase iii, epsilon subunit:dna polymerase iii, alpha subunit, gram-positive type
Prophage Lp2 protein 6	prophage lp2 protein 6
Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	multi antimicrobial extrusion protein (na(+)/drug antiporter), mate family of mdr efflux pumps
D-tyrosyl-tRNA(Tyr) deacylase	d-tyrosyl-trna(tyr) deacylase
CRISPR-associated helicase Cas3	crispr-associated helicase cas3
CRISPR-associated protein, CT1134 family	crispr-associated protein, ct1134 family
CRISPR-associated protein_ CT1133	crispr-associated protein_ ct1133
CRISPR-associated protein, Csd2 family	crispr-associated protein, csd2 family
CRISPR-associated RecB family exonuclease Cas4b	crispr-associated recb family exonuclease cas4b
CRISPR-associated protein Cas1	crispr-associated protein cas1
CRISPR-associated protein Cas2	crispr-associated protein cas2
Possible methyltransferase (Methylase)	possible methyltransferase (methylase)
Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8)	endo-1,4-beta-xylanase a precursor (ec 3.2.1.8)
Predicted glucose transporter in maltodextrin utilization gene cluster	predicted glucose transporter in maltodextrin utilization gene cluster
Sugar kinases, ribokinase family	sugar kinases, ribokinase family
Mlc, transcriptional repressor of MalT (the transcriptional activator of maltose regulon) and manXYZ operon	mlc, transcriptional repressor of malt (the transcriptional activator of maltose regulon) and manxyz operon
Probable solute-binding protein of ABC transporter for peptides	probable solute-binding protein of abc transporter for peptides
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	oligopeptide transport system permease protein oppb (tc 3.a.1.5.1)
Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	oligopeptide transport system permease protein oppc (tc 3.a.1.5.1)
Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	dipeptide transport atp-binding protein dppd (tc 3.a.1.5.2)
Xaa-Pro aminopeptidase (EC 3.4.11.9)	xaa-pro aminopeptidase (ec 3.4.11.9)
mutT/nudix family protein	mutt/nudix family protein
Dihydrofolate synthase (EC 6.3.2.12) / Folylpolyglutamate synthase (EC 6.3.2.17)	dihydrofolate synthase (ec 6.3.2.12) / folylpolyglutamate synthase (ec 6.3.2.17)
Chromosome partition protein smc	chromosome partition protein smc
probably carbamoylphosphate synthase large subunit, evidenced by COGnitor	probably carbamoylphosphate synthase large subunit, evidenced by cognitor
UDP-N-acetylmuramoylalanyl-D-glutamate--L-ornithine ligase	udp-n-acetylmuramoylalanyl-d-glutamate--l-ornithine ligase
COG0847: DNA polymerase III, epsilon subunit and related 3'-5' exonucleases	cog0847: dna polymerase iii, epsilon subunit and related 3'-5' exonucleases
RNA polymerase sigma-70 factor	rna polymerase sigma-70 factor
FIG00424915: hypothetical protein	fig00424915: hypothetical protein
4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (ec 1.17.1.2)
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	nad-dependent glyceraldehyde-3-phosphate dehydrogenase (ec 1.2.1.12)
Thiamin pyrophosphokinase (EC 2.7.6.2)	thiamin pyrophosphokinase (ec 2.7.6.2)
Translation initiation factor 3	translation initiation factor 3
LSU ribosomal protein L35p	lsu ribosomal protein l35p
LSU ribosomal protein L20p	lsu ribosomal protein l20p
Tyrosine recombinase XerD	tyrosine recombinase xerd
Chromosome (plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj	chromosome (plasmid) partitioning protein para / sporulation initiation inhibitor protein soj
Segregation and condensation protein A	segregation and condensation protein a
Segregation and condensation protein B	segregation and condensation protein b
GTP-binding protein TypA/BipA	gtp-binding protein typa/bipa
Prephenate dehydratase (EC 4.2.1.51)	prephenate dehydratase (ec 4.2.1.51)
Arogenate dehydrogenase (EC 1.3.1.43)	arogenate dehydrogenase (ec 1.3.1.43)
FIG00424420: hypothetical protein	fig00424420: hypothetical protein
Tyrosine recombinase XerC	tyrosine recombinase xerc
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	dipeptide-binding abc transporter, periplasmic substrate-binding component (tc 3.a.1.5.2)
Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	dipeptide transport system permease protein dppb (tc 3.a.1.5.2)
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	dipeptide transport system permease protein dppc (tc 3.a.1.5.2)
Exodeoxyribonuclease III (EC 3.1.11.2)	exodeoxyribonuclease iii (ec 3.1.11.2)
FIG00672330: hypothetical protein	fig00672330: hypothetical protein
PROBABLE CONSERVED INTEGRAL MEMBRANE ALANINE AND LEUCINE RICH PROTEIN	probable conserved integral membrane alanine and leucine rich protein
RNA methyltransferase, TrmA family	rna methyltransferase, trma family
site-specific recombinase, phage integrase family	site-specific recombinase, phage integrase family
prepilin-type N-terminal cleavage/methylation domain-containing protein	prepilin-type n-terminal cleavage/methylation domain-containing protein
Quinone oxidoreductase (EC 1.6.5.5)	quinone oxidoreductase (ec 1.6.5.5)
Inner membrane protein	inner membrane protein
putative 67 kDa myosin-crossreactive streptococcal antigen	putative 67 kda myosin-crossreactive streptococcal antigen
COG0583: Transcriptional regulator	cog0583: transcriptional regulator
probable cation-transporting ATPase	probable cation-transporting atpase
"Aconitate hydratase @ 2-methylisocitrate dehydratase "	"aconitate hydratase @ 2-methylisocitrate dehydratase "
FIG00424978: hypothetical protein	fig00424978: hypothetical protein
"Phosphomethylpyrimidine kinase "	"phosphomethylpyrimidine kinase "
GTP pyrophosphokinase (EC 2.7.6.5)	gtp pyrophosphokinase (ec 2.7.6.5)
tRNA-i(6)A37 methylthiotransferase	trna-i(6)a37 methylthiotransferase
tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)	trna delta(2)-isopentenylpyrophosphate transferase (ec 2.5.1.8)
Cell division protein FtsK	cell division protein ftsk
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	cdp-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (ec 2.7.8.5)
C-terminal domain of CinA type S	c-terminal domain of cina type s
FIG00423918: hypothetical protein	fig00423918: hypothetical protein
RecA protein	reca protein
RecX-like protein	recx-like protein
Ribosomal subunit interface protein	ribosomal subunit interface protein
Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	protein export cytoplasm protein seca atpase rna helicase (tc 3.a.5.1.1)
Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	anthranilate phosphoribosyltransferase (ec 2.4.2.18)
FIG00424102: hypothetical protein	fig00424102: hypothetical protein
serine/threonine protein kinase	serine/threonine protein kinase
COG0142: Geranylgeranyl pyrophosphate synthase	cog0142: geranylgeranyl pyrophosphate synthase
RNA polymerase sigma factor RpoD	rna polymerase sigma factor rpod
Topoisomerase IV subunit B (EC 5.99.1.-)	topoisomerase iv subunit b (ec 5.99.1.-)
Phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57)	phosphatidylinositol alpha-mannosyltransferase (ec 2.4.1.57)
Transcriptional regulator, Cro/CI family	transcriptional regulator, cro/ci family
Topoisomerase IV subunit A (EC 5.99.1.-)	topoisomerase iv subunit a (ec 5.99.1.-)
Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)	alkaline phosphodiesterase i (ec 3.1.4.1) / nucleotide pyrophosphatase (ec 3.6.1.9)
FIG00945285: hypothetical protein	fig00945285: hypothetical protein
FIG01121218: hypothetical protein	fig01121218: hypothetical protein
Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	deoxyuridine 5'-triphosphate nucleotidohydrolase (ec 3.6.1.23)
GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I	gtp pyrophosphokinase (ec 2.7.6.5), (p)ppgpp synthetase i
"Peptidyl-prolyl cis-trans isomerase "	"peptidyl-prolyl cis-trans isomerase "
NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase	nad synthetase (ec 6.3.1.5) / glutamine amidotransferase chain of nad synthetase
Pyruvate formate-lyase (EC 2.3.1.54)	pyruvate formate-lyase (ec 2.3.1.54)
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	pyruvate formate-lyase activating enzyme (ec 1.97.1.4)
Ribonuclease D (EC 3.1.26.3)	ribonuclease d (ec 3.1.26.3)
Cell division trigger factor (EC 5.2.1.8)	cell division trigger factor (ec 5.2.1.8)
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	atp-dependent clp protease proteolytic subunit (ec 3.4.21.92)
ATP-dependent Clp protease ATP-binding subunit ClpX	atp-dependent clp protease atp-binding subunit clpx
Na+/H+ antiporter NhaA type	na+/h+ antiporter nhaa type
FIG00424614: hypothetical protein	fig00424614: hypothetical protein
probable methyltransferase	probable methyltransferase
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	succinate dehydrogenase iron-sulfur protein (ec 1.3.99.1)
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	succinate dehydrogenase flavoprotein subunit (ec 1.3.99.1)
methylated-DNA--protein-cysteine methyltransferase	methylated-dna--protein-cysteine methyltransferase
Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	rossmann fold nucleotide-binding protein smf possibly involved in dna uptake
MG(2+) CHELATASE FAMILY PROTEIN / ComM-related protein	mg(2+) chelatase family protein / comm-related protein
Pyridoxal kinase (EC 2.7.1.35)	pyridoxal kinase (ec 2.7.1.35)
Substrate-specific component PdxU2 of predicted pyridoxin-related ECF transporter	substrate-specific component pdxu2 of predicted pyridoxin-related ecf transporter
Duplicated ATPase component of energizing module of predicted pyridoxine-related ECF transporter	duplicated atpase component of energizing module of predicted pyridoxine-related ecf transporter
Transmembrane component of energizing module of predicted pyridoxine-related ECF transporter	transmembrane component of energizing module of predicted pyridoxine-related ecf transporter
possible ATP binding protein of ABC transporter	possible atp binding protein of abc transporter
putative ABC transporter permease protein	putative abc transporter permease protein
Response regulator of two-component system	response regulator of two-component system
